stratum_type,stratum,rule_a,rule_b,cases,active_cases_a,active_cases_b,both_active_cases,mean_a,mean_b,prevalence_gap,pearson,spearman,cosine,mae,rmse,max_abs_diff,exact_same_cases,exact_same_rate,within_20pp_cases,within_20pp_rate,within_40pp_cases,within_40pp_rate,both_variable_cases,profile_score
verdict,APPROVE,J1,J3,104,20,3,3,0.04230769230769231,0.00576923076923077,0.03653846153846154,0.29994201562550465,0.34408532698771477,0.3396831102433787,0.036538461538461534,0.09405399431259603,0.4,87,0.8365384615384616,102,0.9807692307692307,104,1.0,3,0.28898259582380353
ground_truth,ROGUE,F2,U1,197,196,197,196,0.9736040609137057,0.9908629441624365,0.017258883248730816,0.2927468479876295,0.24304557817556285,0.9943367542616273,0.029441624365482227,0.10567645286607291,0.8,177,0.8984771573604061,191,0.9695431472081218,195,0.9898477157360406,2,0.2841279052549988
ground_truth,CLEAN,J1,J3,99,21,3,3,0.04646464646464647,0.0060606060606060615,0.040404040404040414,0.29015243034622573,0.3311430865061133,0.3333333333333333,0.04040404040404041,0.09847319278346618,0.4,81,0.8181818181818182,97,0.9797979797979798,99,1.0,3,0.2784290998271863
quadrant,FLAWED_APPROVAL,F1,F3,73,71,55,55,0.8684931506849314,0.34520547945205476,0.5232876712328767,0.582293846696605,0.6625012237608026,0.8535038954343039,0.5232876712328767,0.5700276369171192,1.0,2,0.0273972602739726,13,0.1780821917808219,30,0.410958904109589,13,0.2775866556855049
ground_truth,ROGUE,F1,F3,197,192,143,143,0.8091370558375633,0.32182741116751273,0.4873096446700506,0.5172249042265983,0.5628144702867777,0.8294548182087417,0.4893401015228427,0.5522450717655525,1.0,14,0.07106598984771574,46,0.233502538071066,96,0.4873096446700508,54,0.2641260170822121
quadrant,VALIDATED_APPROVAL,J1,J3,26,9,1,1,0.06923076923076923,0.007692307692307693,0.06153846153846154,0.27487370837451097,0.2748737083745107,0.3333333333333333,0.06153846153846154,0.11094003924504584,0.2,18,0.6923076923076923,26,1.0,26,1.0,1,0.25795840324377184
quadrant,VALIDATED_APPROVAL,U1,U3,26,25,22,22,0.8153846153846154,0.37692307692307686,0.4384615384615385,0.44873307761236475,0.3498184254816884,0.8742288714332641,0.43846153846153857,0.503831473655779,1.0,2,0.07692307692307693,5,0.19230769230769232,18,0.6923076923076923,12,0.2519808820438663
verdict,BLOCK,F1,F3,198,194,144,144,0.8167508417508417,0.3237373737373737,0.49301346801346796,0.49733006263045343,0.5291912808631924,0.8261583305694807,0.4950336700336701,0.5573972000362984,1.0,13,0.06565656565656566,45,0.22727272727272727,94,0.47474747474747475,55,0.25113493650842506
ground_truth,ROGUE,F1,F2,197,192,196,192,0.8091370558375633,0.9736040609137057,0.16446700507614231,0.2891990411108676,0.14780795950836545,0.957020757020757,0.1766497461928934,0.29753641589177937,1.0,101,0.5126903553299492,151,0.766497461928934,178,0.9035532994923858,10,0.23811210389940468
quadrant,VALIDATED_BLOCK,F1,F3,125,123,89,89,0.7865333333333333,0.31120000000000003,0.4753333333333333,0.45404638821473814,0.45221843457530264,0.8080113973849256,0.47853333333333326,0.5498868570492984,1.0,11,0.088,32,0.256,64,0.512,42,0.23677005657437883
verdict,APPROVE,J1,J4,104,20,2,2,0.04230769230769231,0.0038461538461538464,0.038461538461538464,0.24369817513734354,0.2795639220586479,0.2773500981126145,0.038461538461538464,0.09607689228305229,0.4,86,0.8269230769230769,102,0.9807692307692307,104,1.0,2,0.23432516840129186
verdict,APPROVE,J1,J5,104,20,2,2,0.04230769230769231,0.0038461538461538464,0.038461538461538464,0.24369817513734354,0.2795639220586479,0.2773500981126145,0.038461538461538464,0.09607689228305229,0.4,86,0.8269230769230769,102,0.9807692307692307,104,1.0,2,0.23432516840129186
