target,lambda,mean_nonzero,mean_logloss,se_logloss,mean_accuracy,mean_precision,mean_recall,mean_f1
J4,0.13513436116626068,1.4,0.08112623730185367,0.004060359938380219,0.9932502146975832,0.8739309056956115,1.0,0.932024948735475
J4,0.1874203936666262,1.2,0.1041452749337419,0.003314176555451318,0.9932502146975832,0.8739309056956115,1.0,0.932024948735475
J4,0.259936878074525,1.0,0.1380821214793239,0.0025460755141288186,0.9932502146975832,0.8739309056956115,1.0,0.932024948735475
J4,0.3605113577091053,1.0,0.18820402054584762,0.002087210246247409,0.9932502146975832,0.8739309056956115,1.0,0.932024948735475
J4,0.5,1.0,0.26338165282284887,0.002811796153742651,0.9932502146975832,0.8739309056956115,1.0,0.932024948735475
J5,0.001,11.2,0.0677736429564417,0.018598176712277648,0.9734622285609127,0.6696410256410256,0.9466666666666667,0.7756310508713253
J5,0.0013869188565300285,10.8,0.06795535911059647,0.018572969173368883,0.9741639829468778,0.6734505494505494,0.9633333333333333,0.7847478599881346
J5,0.00192354391459856,9.6,0.06836541413007757,0.01855038088802892,0.973557922340817,0.666091242091242,0.9633333333333333,0.7801594659260562
J5,0.0026677993265203275,8.6,0.06909194098720087,0.0185723627186892,0.973557922340817,0.666091242091242,0.9633333333333333,0.7801594659260562
J5,0.0037000211913891527,7.8,0.06974400040300571,0.018414279294426215,0.973557922340817,0.666091242091242,0.9633333333333333,0.7801594659260562
J5,0.005131629159898318,6.4,0.07045350919311225,0.01803425908205841,0.973557922340817,0.666091242091242,0.9633333333333333,0.7801594659260562
J5,0.007117153246582319,5.0,0.0710929738382555,0.01758998343779704,0.973557922340817,0.666091242091242,0.9633333333333333,0.7801594659260562
J5,0.00987091404249892,3.2,0.07151216972236007,0.01694218191503203,0.9741829223408172,0.672091242091242,0.9633333333333333,0.7837958295624199
J5,0.013690156816728805,2.4,0.07165639956975034,0.015943381679359287,0.9727794135688871,0.6517403648982596,0.9800000000000001,0.7756715762768763
J5,0.018987136637974283,2.4,0.071544132429238,0.014832113844352639,0.9727794135688871,0.6517403648982596,0.9800000000000001,0.7756715762768763
J5,0.02633361783471869,2.2,0.07230860381048917,0.013607739431604846,0.9734811679548521,0.6754245754245753,0.93,0.7708328665994569
J5,0.036522591135626795,2.2,0.07467014120857071,0.01234140990535976,0.9734811679548521,0.6754245754245753,0.93,0.7708328665994569
J5,0.05065387033533725,2.2,0.07912621634297813,0.011097937939173547,0.9734811679548521,0.6754245754245753,0.93,0.7708328665994569
J5,0.07025280792430623,2.2,0.08664090092890099,0.009913446098346079,0.9734811679548521,0.6754245754245753,0.93,0.7708328665994569
J5,0.09743494403440249,2.2,0.09838883554863946,0.008780664520990054,0.9757888602625446,0.6874647092038396,0.93,0.7816599342686299
J5,0.13513436116626068,2.2,0.11603049857178124,0.007658872430580314,0.976394920868605,0.694824016563147,0.93,0.7862483283307082
J5,0.1874203936666262,2.2,0.14204396692222138,0.006501598408147687,0.976394920868605,0.694824016563147,0.93,0.7862483283307082
J5,0.259936878074525,2.2,0.18030835508074392,0.0052775932681779275,0.9757888602625446,0.6874647092038396,0.93,0.7816599342686299
J5,0.3605113577091053,2.2,0.23718903590697296,0.0040944213883022775,0.9728561679548523,0.6694245754245755,0.93,0.7671965029630933
J5,0.5,1.8,0.32118923278154177,0.0034932835032216174,0.9862605048460311,0.8365359477124183,0.9,0.8614388020377131
S1,0.001,10.8,0.08376779199632271,0.007623335821192251,0.9817592166605325,0.9731185752515156,0.9723527107812823,0.972687842658928
S1,0.0013869188565300285,10.2,0.08374296120457565,0.007475062131997175,0.9817592166605325,0.9731185752515156,0.9723527107812823,0.972687842658928
S1,0.00192354391459856,9.6,0.08379599346502731,0.007276763223008008,0.9817592166605325,0.9731185752515156,0.9723527107812823,0.972687842658928
S1,0.0026677993265203275,9.0,0.08444149998016744,0.007190276624113835,0.9809899858913017,0.9706876728206131,0.9723527107812823,0.9714322527036476
S1,0.0037000211913891527,7.8,0.08543271962150567,0.007187216814110884,0.9796821708992761,0.9674649436399779,0.9723527107812823,0.9698223100786922
S1,0.005131629159898318,7.6,0.08649313144718852,0.007175673756633902,0.9796821708992761,0.9674649436399779,0.9723527107812823,0.9698223100786922
S1,0.007117153246582319,6.4,0.0882403138001869,0.007243356995265733,0.9796821708992761,0.9674649436399779,0.9723527107812823,0.9698223100786922
S1,0.00987091404249892,5.0,0.0910543420479628,0.007374014535994416,0.9796821708992761,0.9674649436399779,0.9723527107812823,0.9698223100786922
S1,0.013690156816728805,3.2,0.09446286427834147,0.007602083641780345,0.9796821708992761,0.9674649436399779,0.9723527107812823,0.9698223100786922
S1,0.018987136637974283,2.4,0.09816442482770993,0.007618416815114037,0.9796821708992761,0.9674649436399779,0.9723527107812823,0.9698223100786922
S1,0.02633361783471869,2.0,0.10377186166151449,0.007304506405088677,0.9796821708992761,0.9674649436399779,0.9723527107812823,0.9698223100786922
S1,0.036522591135626795,2.0,0.11212374862848902,0.00695388158907385,0.9796821708992761,0.9674649436399779,0.9723527107812823,0.9698223100786922
S1,0.05065387033533725,2.0,0.12451186412194612,0.006577037095463618,0.9796821708992761,0.9674649436399779,0.9723527107812823,0.9698223100786922
